TASK_GROUP	TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	TASK_OVERDATE	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
Phân nhóm ID (ID chiếm dụng không liên tục xin xoá hàng trống)	ID bắt đầu	ID kết thúc	Tên nhiệm vụ	Thời hạn (20091010)	0: Không đồng bộ, 1: Cùng Client	0: Không thể; 1:Client có thể quyết định	Miêu tả nhiệm vụ
0			Tương thích Script cũ				
0	2389	2389	Bảo lưu Uy danh giang hồ		0	0	
0	2341	2341	Độ cống hiến Bang hội		1	0	
0	2342	2342	Thời gian người chơi nhận thưởng độ cống hiến trong tuần		1	0	
0	2042	2042	Số lần sử dụng Bách Luyện Đơn		0	0	
0	2043	2043	Thời gian xin khóa thời gian gần đây nhất (bỏ)		1	0	
0	2046	2046	Thời gian bị bắt vào Thiên lao Đào Nguyên				
0	2047	2047	Thời gian bị nhốt ở Thiên lao Đào Nguyên				
0	3000	3000	Dùng tìm BUG				
1			*Khu vực nguy hiểm, không dùng cũng không nên xóa*		0	0	
2	1	1	Log Nhân vật tẩy điểm		1	0	
3	1	21	Ghi nhớ thanh phím tắt (số thứ 21 căn cứ theo bit từ thấp lên cao, mỗi 3 bit là 1 biến lượng cho loại hình phương tức phím tắt)		1	1	
4	1	10	Ghi nhớ Phím tắt kỹ năng (Mỗi 4 bit là 1 biến lượng)		1	1	
5			Ủy thác rời mạng		0	0	
5	1	4	Ủy thác rời mạng, ghi lại thời gian sử dụng Bạch Câu Hoàn		1	0	
5	18	18	Ngày nào đó đã sử dụng Ủy thác rời mạng		1		
5	23	23	Ký hiệu có phải tiếp tục nhận bồi thường sau khi bồi thường thời gian ủy thác rời mạng cho người chơi gộp server		0	0	
5	24	24	Thời gian nhận thưởng gộp server		0	0	
6	1	100	Link nhiệm vụ môn phái (back-up)		1	0	
6	101	101	Đã nhận số uy danh thông qua Bao Vạn Đồng		1	0	
7			Liên quan chuyển môn phái		1		
8			Dữ liệu môn phái đã back up-Môn phái 1		1	0	
